Pair 1,Pair 2,Pair 3,id,zappos,picUrl,productUrl,dateAdded,title,brand,style,waist_size,length_size,material,color,waist,front_rise,back_rise,hips,inseam,thigh,knee,outseam,cuff,country_of_origin,their_description_of_fit,their_description_of_leg,their_description_of_sit,rn,other1,other2,other3,other4,measurer,date_measured,source
,,,1,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,28,None,None,None,28.5,9.5,None,None,33.5,None,None,43.5,7,None,None,None,None,None,None,None,None,None,None,None,None
,,,2,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,29,None,None,None,29,9.5,None,None,33.5,None,None,44,7.5,None,None,None,None,None,None,None,None,None,None,None,None
,,,3,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,30,None,None,None,30,10,None,None,34,None,None,44.5,7.5,None,None,None,None,None,None,None,None,None,None,None,None
,,,4,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,31,None,None,None,31.5,10,None,None,34,None,None,44.5,7.5,None,None,None,None,None,None,None,None,None,None,None,None
,,,5,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,32,None,None,None,32.5,10.5,None,None,34,None,None,44.5,7.5,None,None,None,None,None,None,None,None,None,None,None,None
,,,6,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,33,None,None,None,34,10.5,None,None,34,None,None,44.5,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,7,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,34,None,None,None,34.5,11,None,None,34,None,None,45,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,8,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,36,None,None,None,36,11.5,None,None,34,None,None,45.5,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,9,FALSE,http://www.mrporter.com/images/products/302727/302727_mrp_in_m2.jpg,http://www.mrporter.com/product/302727,6/11/11 2:45,RB15X Straight Denim Jeans,Rag & bone,None,38,None,None,None,38,12,None,None,34.5,None,None,46.5,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,10,FALSE,http://www.mrporter.com/images/products/300681/300681_mrp_in_m2.jpg,http://www.mrporter.com/product/300681,6/11/11 2:45,Flat Front Linen Trousers,Ralph Lauren Purple Label,None,30,32,None,None,31.5,10,None,None,34.5,None,None,43.5,8.75,None,None,None,None,None,None,None,None,None,None,None,None
