0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5
URL,Designer,Style,Price,pic ,measured from,des-waist,des-inseam,waist,front,inseam,knee,cuff,thigh,back_rise,,,,,Retailer,Shipping,Returns,Location,Price,Retailer URL,Retailer Description
http://needsupply.com/mens/bottoms/pants/safari-pant.html,Rogue Territory,Safari Pant,165,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/s/a/safaripant_safaripant_4.jpg,Measurements taken from a size 31.,31,31,32,10.5,34,8,7.5,11.5,,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",165,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/ar-g-trouser-in-navy.html,Rogue Territory,Ar-G Trouser In Navy,155,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/a/r/argnavy_argtrousernavyr4.jpg,Measurements taken from a size 31.,31,31,32,10,34,8,7.5,11,14,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",155,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/ar-g-trouser-in-black.html,Rogue Territory,Ar-G Trouser In Black,155,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/a/r/argblack_argtrouserblackr3.jpg,Measurements taken from a size 31.,31,31,32,10,34,8,7.5,11,14,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",155,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/ar-g-trouser-in-bronze.html,Rogue Territory,Ar-G Trouser In Bronze,155,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/a/r/argbronze_argtrouserbronzer1.jpg,Measurements taken from a size 31.,31,31,32,10,34,8,7.5,11,14,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",155,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/weekender-pant-4.html,RVCA,Weekender Pant In Sage,49,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/1/0/1030019_weekenderpant5_1.jpg,"Measured on a size 31, dimensions may vary with size.",31,31,31,11,31,8,7.5,10.5,15,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",49,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/weekender-pant-2.html,RVCA,Weekender Pant In Navy,49,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/1/0/1030019_weekenderpant_5_2.jpg,"Measured on a size 31, dimensions may vary with size.",31,31,31,11,31,8,7.5,10.5,15,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",49,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/weekender-pant-1.html,RVCA,Weekender Pant In Black,49,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/1/0/1030019_black_4_1.jpg,"Measured on a size 31, dimensions may vary with size.",31,31,31,11,31,8,7.5,10.5,15,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",49,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/slim-chino-in-clay.html,Cheap Monday,Slim Chino In Clay,65,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/2/0/200500_slimchinoclay5.jpg,Measurements taken from a size 31-34. Dimensions will vary with size.,31,34,31,9.5,33,7.5,7,11,,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",65,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
http://needsupply.com/mens/bottoms/pants/raul-dark-brown.html,COMUNE,Raul Pant In Dark Brown,76,http://needsupply.com/media/catalog/product/cache/1/small_image/215x269/9df78eab33525d08d6e5fb8d27136e95/c/m/cmd10029_rauldarkbrown4.jpg,Measurements taken from size 31,31,31,31,10,32,7.75,7.75,11.5,14.5,,,,,Need Supply Co.,Free shipping,Returns - $6.95 flat fee; Item comes with prepaid return label,"Richmond, VA",76,http://needsupply.com/,"Need Supply Co. is a botique clothing store in Richmond, Virginia. "
