,,,,,,,WAIST,OUTSEAM,INSEAM,FRONTRISE,CUFF,BACKRISE,
32,,McQ,Pant,$239.99 ,http://www.zappos.com/images/z/1/5/4/5/6/5/1545658-p-DETAILED.jpg,http://www.zappos.com/product/7818675,34,43,33,12,14,17,
,,PUMA,Velour Pant,$47.99 ,http://www.zappos.com/images/z/1/6/0/0/9/7/1600974-p-DETAILED.jpg,http://www.zappos.com/product/7844021,32,43,32,14,18,16,
,,PUMA,Velour Pant,$47.99 ,http://www.zappos.com/images/z/1/6/0/0/9/7/1600974-p-DETAILED.jpg,http://www.zappos.com/product/7844021,32,43,32,14,18,16,
,,Special Blend,Annex Pant,$189.95 ,http://www.zappos.com/images/z/1/7/2/7/8/6/1727861-p-DETAILED.jpg,http://www.zappos.com/product/7275894,36,41,30,12,11,17,
,,Special Blend,Annex Pant,$189.95 ,http://www.zappos.com/images/z/1/7/2/7/8/6/1727861-p-DETAILED.jpg,http://www.zappos.com/product/7275894,36,41,30,12,11,17,
,,Special Blend,Annex Pant,$189.95 ,http://www.zappos.com/images/z/1/7/2/7/8/6/1727861-p-DETAILED.jpg,http://www.zappos.com/product/7275894,36,41,30,12,11,17,
,,Outdoor Research,Revel Pant,$100.99 ,http://www.zappos.com/images/z/1/3/1/1311547-p-DETAILED.jpg,http://www.zappos.com/product/7718172,,41,30,10,16,15,
NA,,Prana,Sutra Pant,$68.00 ,http://www.zappos.com/images/z/1/0/2/1028664-p-DETAILED.jpg,http://www.zappos.com/product/7291786,,,,,,,
,,Burton,Lightweight Pant,$34.95 ,http://www.zappos.com/images/z/1/7/4/0/1/7/1740175-p-DETAILED.jpg,http://www.zappos.com/product/7909947,28,38,27,12,10,17,
,,Marmot,Flurry Pant,$160.00 ,http://www.zappos.com/images/z/9/2/6/6/1/4/926614-p-DETAILED.jpg,http://www.zappos.com/product/7789448,0,0,0,0,10,17,
,,Marmot,Scree Pant,$100.00 ,http://www.zappos.com/images/z/9/2/7/927560-p-DETAILED.jpg,http://www.zappos.com/product/7548293,,,,,,,
,,Sugoi,Espresso Pant,$90.00 ,http://www.zappos.com/images/z/1/1/6/1166424-p-DETAILED.jpg,http://www.zappos.com/product/7653267,,,,11.5,,,
,,Sugoi,Espresso Pant,$90.00 ,http://www.zappos.com/images/z/1/1/6/1166424-p-DETAILED.jpg,http://www.zappos.com/product/7653267,,,,11.5,,,
,,Nike,Authentic Pant,$43.99 ,http://www.zappos.com/images/z/1/4/8/1480334-p-DETAILED.jpg,http://www.zappos.com/product/7791387,28,42,32,13,18,16,
,,Nike,Authentic Pant,$43.99 ,http://www.zappos.com/images/z/1/4/8/1480334-p-DETAILED.jpg,http://www.zappos.com/product/7791387,28,42,32,13,18,16,
,,Nike,Authentic Pant,$43.99 ,http://www.zappos.com/images/z/1/4/8/1480334-p-DETAILED.jpg,http://www.zappos.com/product/7791387,28,42,32,13,18,16,
,,Horny Toad,Hangover Pant,$78.00 ,http://www.zappos.com/images/z/1/1/4/3/8/4/1143847-p-DETAILED.jpg,http://www.zappos.com/product/7373260,,,,,,,
,,Special Blend,Dive Pant,$139.95 ,http://www.zappos.com/images/z/1/7/2/7/8/7/1727876-p-DETAILED.jpg,http://www.zappos.com/product/7903429,32,44,32,10,20,15,
,,Special Blend,Dive Pant,$139.95 ,http://www.zappos.com/images/z/1/7/2/7/8/7/1727876-p-DETAILED.jpg,http://www.zappos.com/product/7903429,32,44,32,10,20,15,
,,Special Blend,Dive Pant,$139.95 ,http://www.zappos.com/images/z/1/7/2/7/8/7/1727876-p-DETAILED.jpg,http://www.zappos.com/product/7903429,32,44,32,10,20,15,
